I, [2017-10-27T12:12:17.387914 #80715]  INFO -- Kitchen: -----> Starting Kitchen (v1.17.0)
E, [2017-10-27T12:12:17.388461 #80715] ERROR -- Kitchen: ------Exception-------
E, [2017-10-27T12:12:17.388503 #80715] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-10-27T12:12:17.388531 #80715] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tech-a67/Documents/classwork/w07d02/dev-enviorments/.kitchen.yml does not exist.
E, [2017-10-27T12:12:17.388562 #80715] ERROR -- Kitchen: ----------------------
E, [2017-10-27T12:12:17.388607 #80715] ERROR -- Kitchen: ------Backtrace-------
E, [2017-10-27T12:12:17.388642 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-10-27T12:12:17.388660 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:147:in `data'
E, [2017-10-27T12:12:17.388674 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:126:in `suites'
E, [2017-10-27T12:12:17.388687 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:177:in `filter_instances'
E, [2017-10-27T12:12:17.388723 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:136:in `build_instances'
E, [2017-10-27T12:12:17.388745 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:112:in `instances'
E, [2017-10-27T12:12:17.388767 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-10-27T12:12:17.388778 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-10-27T12:12:17.388790 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-10-27T12:12:17.388801 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-10-27T12:12:17.388813 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/test.rb:38:in `call'
E, [2017-10-27T12:12:17.388824 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-10-27T12:12:17.388836 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:234:in `test'
E, [2017-10-27T12:12:17.388847 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-10-27T12:12:17.388859 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-10-27T12:12:17.388890 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-10-27T12:12:17.388903 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-10-27T12:12:17.388916 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-10-27T12:12:17.388927 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-10-27T12:12:17.388939 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-10-27T12:12:17.388952 #80715] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `<top (required)>'
E, [2017-10-27T12:12:17.388964 #80715] ERROR -- Kitchen: /usr/local/bin/kitchen:267:in `load'
E, [2017-10-27T12:12:17.388975 #80715] ERROR -- Kitchen: /usr/local/bin/kitchen:267:in `<main>'
E, [2017-10-27T12:12:17.389001 #80715] ERROR -- Kitchen: ----End Backtrace-----
